Timestamp,Chunks in Buffer
1728673733.2236686,0
1728673734.225562,13
1728673735.227215,13
1728673736.228714,13
1728673737.2299733,13
1728673738.2314389,13
1728673739.2331297,13
1728673740.2343931,13
1728673741.2361894,13
1728673742.237914,13
1728673743.23919,13
1728673744.2403264,13
1728673745.2412167,13
1728673746.2421572,13
1728673747.2437747,13
1728673748.2446644,13
1728673749.2453914,13
1728673750.2466505,13
1728673751.2477355,13
1728673752.2489538,13
1728673753.2504284,13
1728673754.2515845,13
1728673755.252685,13
1728673756.2537417,13
1728673757.2545912,13
1728673758.2561252,13
1728673759.2574167,13
1728673760.2581758,13
1728673761.259531,13
1728673762.2604108,13
1728673763.2612915,13
1728673764.2624614,13
1728673765.2639441,13
1728673766.2654545,13
1728673767.2664955,13
1728673768.2680442,13
1728673769.2692952,13
1728673770.2702515,13
1728673771.271594,13
1728673772.272363,13
1728673773.2735548,13
1728673774.2745702,13
1728673775.2758439,13
1728673776.2769246,13
1728673777.2779005,13
1728673778.279073,13
1728673779.2808342,13
1728673780.2820535,13
1728673781.2832818,13
1728673782.2847095,13
1728673783.285393,13
1728673784.2867796,13
1728673785.2876556,13
1728673786.288938,13
1728673787.2903974,13
1728673788.2915986,13
1728673789.292209,13
1728673790.293226,13
1728673791.2944689,13
1728673792.2958078,13
1728673793.2969913,13
1728673794.2987697,13
1728673795.2997694,13
1728673796.3011765,13
1728673797.303079,13
1728673798.3046389,13
1728673799.305988,13
1728673800.3070674,13
1728673801.3086958,13
1728673802.3107102,13
1728673803.3120182,13
1728673804.3133717,13
1728673805.3147056,13
1728673806.3158143,13
1728673807.317597,13
1728673808.3191535,13
1728673809.3201365,13
1728673810.3220232,13
1728673811.3239386,13
1728673812.325256,13
1728673813.3263764,13
1728673814.3277621,13
1728673815.3294947,13
1728673816.3315456,13
1728673817.33307,13
1728673818.3340185,13
1728673819.3347266,13
1728673820.3358078,13
1728673821.3364782,13
1728673822.3377583,13
1728673823.3390899,13
1728673824.3397672,13
1728673825.341104,13
1728673826.342084,13
1728673827.3433084,13
1728673828.3441794,13
1728673829.3450372,13
1728673830.3460205,13
1728673831.3469477,13
1728673832.3482056,13
1728673833.3494227,13
1728673834.3503754,13
1728673835.3512783,13
1728673836.3529797,13
1728673837.3539371,13
1728673838.3547962,13
1728673839.3561404,13
1728673840.3573883,13
1728673841.3587883,13
1728673842.3598366,13
1728673843.3614974,13
1728673844.3631134,13
1728673845.3653407,13
1728673846.366645,13
1728673847.3678226,13
1728673848.3696213,13
1728673849.370428,13
1728673850.3714314,13
1728673851.3730502,13
1728673852.3749688,13
1728673853.3761997,13
1728673854.3775737,13
1728673855.3784392,13
1728673856.3796391,13
1728673857.3810277,13
1728673858.382571,13
1728673859.383542,13
1728673860.3844516,13
1728673861.3853934,13
1728673862.386374,13
1728673863.3874273,13
1728673864.3885405,13
1728673865.3898664,13
1728673866.3911667,13
1728673867.3929198,13
1728673868.393932,13
1728673869.395025,13
1728673870.3963778,13
1728673871.3981938,13
1728673872.399558,13
1728673873.4006865,13
1728673874.4018614,13
1728673875.402562,13
1728673876.4035037,13
1728673877.404713,13
1728673878.4063976,13
1728673879.4078705,13
1728673880.410157,13
1728673881.411342,13
1728673882.4126894,13
1728673883.4140246,13
1728673884.4151545,13
1728673885.4163327,13
1728673886.417761,13
1728673887.419642,13
1728673888.4209676,13
1728673889.4227555,13
1728673890.4237587,13
1728673891.425729,13
1728673892.4277346,13
1728673893.4294617,13
1728673894.4314768,13
1728673895.432717,13
1728673896.4343371,13
1728673897.4359953,13
1728673898.4371133,13
1728673899.4389937,13
1728673900.4402444,13
1728673901.4413984,13
1728673902.4427502,13
1728673903.4444,13
1728673904.4456432,13
1728673905.4466186,13
1728673906.448173,13
1728673907.4500456,13
1728673908.4513042,13
1728673909.4526315,13
1728673910.4539957,13
1728673911.455167,13
1728673912.4563205,13
1728673913.4572532,13
1728673914.4587593,13
1728673915.4601138,13
1728673916.461199,13
1728673917.4621873,13
1728673918.4642887,13
1728673919.4654174,13
1728673920.4660246,13
1728673921.4673882,13
1728673922.4693494,13
1728673923.470883,13
1728673924.4723032,13
1728673925.4735787,13
1728673926.4757066,13
1728673927.4770327,13
1728673928.4782116,13
1728673929.4794486,13
1728673930.4813058,13
1728673931.483289,13
1728673932.4853318,13
1728673933.4864187,13
1728673934.4874022,13
1728673935.4888594,13
1728673936.4904258,13
1728673937.4916372,13
1728673938.4922352,13
1728673939.493632,13
1728673940.4952185,13
1728673941.496259,13
1728673942.49733,13
1728673943.4989831,13
1728673944.500709,13
1728673945.5022535,13
1728673946.5030606,13
1728673947.504574,13
1728673948.506116,13
1728673949.5076137,13
1728673950.5090375,13
1728673951.510136,13
1728673952.5113792,13
1728673953.512511,13
1728673954.5135796,13
1728673955.5149858,13
1728673956.516282,13
1728673957.5176184,13
1728673958.5183651,13
1728673959.5196154,13
1728673960.5206811,13
1728673961.5217285,13
