Timestamp,Chunks in Buffer
1728673347.1630342,0
1728673348.1645832,3
1728673349.1657002,3
1728673350.1670313,3
1728673351.1685567,3
1728673352.1701772,3
1728673353.1708608,3
1728673354.1718004,3
1728673355.1733809,3
1728673356.1746016,3
1728673357.1758823,3
1728673358.1770532,3
1728673359.1785526,3
1728673360.179714,3
1728673361.1804574,3
1728673362.1822798,3
1728673363.1835544,3
1728673364.18436,3
1728673365.18526,3
1728673366.186115,3
1728673367.1873145,3
1728673368.188742,3
1728673369.1903646,3
1728673370.1911001,3
1728673371.1921918,3
1728673372.1931818,3
1728673373.1946669,3
1728673374.1953614,3
1728673375.1963353,3
1728673376.197683,3
1728673377.1983478,3
1728673378.199632,3
1728673379.2007568,3
1728673380.201952,3
1728673381.2026157,3
1728673382.2036278,3
1728673383.2051003,3
1728673384.2061787,3
1728673385.2068765,3
1728673386.2078242,3
1728673387.2088666,3
1728673388.210523,3
1728673389.2115667,3
1728673390.2130039,3
1728673391.2136984,3
1728673392.214741,3
1728673393.216033,3
1728673394.2169433,3
1728673395.2181184,3
1728673396.2196355,3
1728673397.2208695,3
1728673398.2216554,3
1728673399.2234535,3
1728673400.2244267,3
1728673401.225656,3
1728673402.2265296,3
1728673403.2278206,3
1728673404.2290554,3
1728673405.2305672,3
1728673406.2318363,3
1728673407.233114,3
1728673408.2338555,3
1728673409.2352924,3
1728673410.2368162,3
1728673411.2383747,3
1728673412.23955,3
1728673413.2406526,3
1728673414.2416055,3
1728673415.2429166,3
1728673416.2440157,3
1728673417.24544,3
1728673418.246526,3
1728673419.2472875,3
1728673420.2485201,3
1728673421.2496204,3
1728673422.2504516,3
1728673423.2515783,3
1728673424.2527244,3
1728673425.2536387,3
1728673426.2549167,3
1728673427.2558901,3
1728673428.2569706,3
1728673429.2583117,3
1728673430.2591405,3
1728673431.2601225,3
1728673432.2611363,3
1728673433.2621338,3
1728673434.2632375,3
1728673435.2647893,3
1728673436.2660146,3
1728673437.2667222,3
1728673438.2677023,3
1728673439.2688928,3
1728673440.270249,3
1728673441.27146,3
1728673442.2722652,3
1728673443.273484,3
1728673444.274007,3
1728673445.2746894,3
1728673446.276331,3
1728673447.2771323,3
1728673448.2784092,3
1728673449.279652,3
1728673450.2808704,3
